STATION,STATION_NAME,DATE,HPCP
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880419 17:00,0.01
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880419 18:00,0.07
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880419 19:00,0.03
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880419 20:00,0.07
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880419 21:00,0.06
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880419 22:00,0.03
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880419 23:00,0.04
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880420 00:00,0.04
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880420 01:00,0.06
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880420 02:00,0.07
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880420 03:00,0.02
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880420 04:00,0.02
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880420 05:00,0.01
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880420 06:00,0.04
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880420 07:00,0.01
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880420 10:00,0.01
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880423 09:00,0.02
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880423 10:00,0.01
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880423 11:00,0.01
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880423 12:00,0.02
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880501 01:00,0.00
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880601 01:00,0.00
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880701 01:00,0.00
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880801 01:00,0.00
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880824 11:00,0.02
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880901 01:00,0.00
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880920 05:00,0.03
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880920 06:00,0.02
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880920 07:00,0.02
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19881001 01:00,0.00
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19881101 01:00,0.00
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19881113 20:00,0.02
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19881113 21:00,0.01
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19881113 22:00,0.03
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19881114 00:00,0.02
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19881114 01:00,0.11
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19881114 02:00,0.06
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19881114 03:00,0.09
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19881114 04:00,0.02
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19881123 14:00,0.01
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19881123 16:00,0.01
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19881123 17:00,0.08
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19881123 18:00,0.03
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19881123 19:00,0.02
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19881125 04:00,0.04
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19881125 05:00,0.04
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19881125 06:00,0.07
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19881125 07:00,0.05
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19881125 08:00,0.01
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19881125 09:00,0.01
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19881201 01:00,0.00
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19881215 13:00,0.04
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19881215 14:00,0.06
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19881215 15:00,0.02
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19881215 16:00,0.11
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19881215 17:00,0.06
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19881215 19:00,0.04
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19881216 00:00,0.10
